тип	уровень	фраза	наш перевод	переводы Wiktionary	сверка перевода	буквально	наше определение	определение Wiktionary	сверка определения	пример	перевод примера	пример подтверждён	замечания
idiom	C1	you name it	и чего только нет		нечем	ты назови это	used to say that everything is included	All kinds of things; expresses that further examples are unnecessary, often after a short list of items.	РАЗОШЁЛСЯ	Why'd you name it that?	Почему ты её так назвал?	нет	определение Wiktionary про другое значение: All kinds of things; expresses that further examples are unnecessary, often after a short list of items.; пример не подтверждён переводом — проверить значение
idiom	C1	draw the line	провести черту, установить предел		нечем	провести линию	to set a limit you will not pass	To set a boundary, rule, or limit, especially on what one will tolerate.	совпал	One must draw the line somewhere.	Надо нарисовать где-нибудь линию.	нет	пример не подтверждён переводом — проверить значение
colloc	A1	do homework	делать домашнее задание		нечем		to do the school work given for home		нечем	I'm busy doing homework.	Я занят, так как делаю домашнюю работу.	да	
colloc	A2	do the dishes	мыть посуду	мыть посуду; помыть посуду	совпал		to wash the plates and cups after a meal	To wash up dirty crockery (plates and dishes) and cutlery (knives, forks, and spoons).	совпал	Do the dishes.	Помой посуду.	да	
colloc	A2	do the shopping	делать покупки		нечем		to buy the food and things a home needs		нечем	I do the shopping every morning.	Каждое утро я хожу за покупками.	да	
colloc	A2	do exercise	заниматься спортом		нечем		to move your body to stay healthy		нечем	I heard that you shouldn't eat for one hour after doing exercise. Is that true?	Правда ли, что в течение часа после тренировки лучше воздержаться от приема пищи?	нет	пример не подтверждён переводом — проверить значение
colloc	A2	make the bed	заправлять кровать	постелить, застлать постель, кровать	совпал		to make a bed tidy after sleeping	To arrange the sheets, blankets, or other coverings of a bed smoothly and neatly.	совпал	Please make the bed.	Заправь постель, пожалуйста.	да	
colloc	A1	make a cake	печь торт		нечем		to prepare and bake a cake		нечем	I was making a cake.	Я пекла торт.	да	
colloc	A2	make a mistake	сделать ошибку	ошибаться	совпал		to do something wrong by accident	To err, to be wrong. (This entry is a translation hub.).	совпал	She makes a mistake.	Она ошибается.	да	
colloc	A2	make friends	заводить друзей	дружить; подружиться; сдружиться; сблизиться	РАЗОШЁЛСЯ		to start new friendships	To form friendships with others.	совпал	I tried to make friends.	Я пытался завести друзей.	да	перевод расходится с Wiktionary: дружить; подружиться; сдружиться; сблизиться
colloc	A2	make noise	шуметь		нечем		to produce loud sounds	To make a noise.	РАЗОШЁЛСЯ	You can't make noise here.	Здесь нельзя шуметь.	да	определение Wiktionary про другое значение: To make a noise.
colloc	A1	take a photo	фотографировать		нечем		to use a camera to make a picture		нечем	He was taking a photo.	Он фотографировал.	да	
colloc	A1	take a shower	принимать душ		нечем		to wash yourself under a shower		нечем	I'm taking a shower.	Я принимаю душ.	да	
colloc	A1	take a bus	ехать на автобусе		нечем		to travel by bus		нечем	Take a bus.	Езжай на автобусе.	да	
colloc	A2	take a seat	присесть, занять место		нечем		to sit down	To sit down; to become seated, to sit.	совпал	Please take a seat.	Присаживайтесь, пожалуйста.	да	
colloc	A2	take a break	сделать перерыв	передохнуть	совпал		to stop working for a short time	To have a short rest period in one's work, studies, or other activities (This entry is a translation hub.).	совпал	Take a break.	Сделай перерыв.	да	
colloc	A1	have breakfast	завтракать		нечем		to eat the first meal of the day		нечем	I'm having breakfast.	Я завтракаю.	да	
colloc	A1	have lunch	обедать		нечем		to eat the midday meal		нечем	I'm having lunch.	Я обедаю.	да	
colloc	A1	have dinner	ужинать		нечем		to eat the evening meal		нечем	Go have dinner.	Идите ужинать.	да	
colloc	A2	have a good time	хорошо провести время		нечем		to enjoy yourself	To enjoy oneself.	совпал	Have a good time.	Хорошо провести время!	да	
colloc	A2	have a look	взглянуть		нечем		to look at something quickly	To examine, to observe.	РАЗОШЁЛСЯ	Have a look.	Взгляните на это.	да	определение Wiktionary про другое значение: To examine, to observe.
colloc	A2	have a rest	отдохнуть		нечем		to stop and relax for a while		нечем	I need to have a rest.	Мне нужно отдохнуть.	да	
colloc	A2	have a party	устроить праздник		нечем		to invite people and celebrate		нечем	We have a party tonight.	У нас сегодня вечером праздник.	да	
colloc	A1	watch television	смотреть телевизор		нечем		to look at television programmes		нечем	I watch television.	Я смотрю телевизор.	да	
colloc	A1	play football	играть в футбол		нечем		to take part in a game of football		нечем	I play football.	Я играю в футбол.	да	
colloc	A1	play the piano	играть на пианино		нечем		to make music on a piano		нечем	I play the piano.	Я играю на фортепиано.	да	
colloc	A1	play a game	играть в игру		нечем		to take part in a game		нечем	Let's play a game.	Давай сыграем в одну игру.	да	
colloc	A1	ride a bike	кататься на велосипеде		нечем		to travel on a bicycle		нечем	I can ride a bike.	Я умею кататься на велосипеде.	да	
colloc	A1	go shopping	ходить по магазинам		нечем		to go out to buy things		нечем	I'm going shopping.	Я иду в магазин.	да	
colloc	A1	go swimming	ходить плавать		нечем		to go somewhere to swim		нечем	Let's go swimming.	Пойдёмте плавать.	да	
colloc	A1	go for a walk	пойти погулять		нечем		to walk somewhere for pleasure		нечем	Go for a walk.	Иди погуляй.	да	
colloc	A1	go to bed	ложиться спать	ложиться спать; лечь спать	совпал		to get into bed to sleep	To lie down to sleep, put oneself in one's bed.	совпал	Go to bed.	Иди спать.	да	
colloc	A1	brush your teeth	чистить зубы		нечем		to clean your teeth with a brush		нечем	Brush your teeth.	Зубы почисти.	да	
colloc	A1	wash your hands	мыть руки		нечем		to clean your hands with water and soap		нечем	Wash your hands.	Вымой руки.	да	
colloc	A1	tell a story	рассказывать историю		нечем		to say a story to someone	To communicate a story in some way.	совпал	He tells a story.	Он рассказывает историю.	да	
colloc	A2	tell the truth	говорить правду	честно говоря	совпал		to say what is really true	Used other than figuratively or idiomatically: see tell,‎ truth.	РАЗОШЁЛСЯ	Tell the truth.	Скажи правду.	да	определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see tell,‎ truth.
colloc	A2	tell a joke	рассказать шутку		нечем		to say something funny		нечем	I always laugh when someone tells a joke.	Я всегда смеюсь, когда кто-то рассказывает шутку.	да	
colloc	A1	ask a question	задать вопрос		нечем		to say something you want answered		нечем	Ask a question.	Задайте вопрос.	да	
colloc	A2	give an answer	дать ответ		нечем		to say the answer to a question		нечем	The students could not give an answer.	Студенты не могли ответить.	да	
colloc	A1	get dressed	одеваться	одеваться; одеться	совпал		to put your clothes on	To dress; to put on clothes; to clothe oneself.	совпал	Get dressed faster.	Давайте быстрей одевайтесь.	да	
colloc	A1	get ready	собираться, готовиться		нечем		to prepare for something	To prepare; to make ready or prepared.	совпал	Get ready.	Будь готов!	да	
colloc	A2	catch a bus	успеть на автобус		нечем		to get on a bus before it leaves		нечем	Catch a bus.	Поезжай на автобусе.	да	
colloc	A2	keep a promise	сдержать обещание		нечем		to do what you promised		нечем	As far as I know, he is a person who keeps his promises.	Насколько я знаю, он тот, кто держит свои обещания.	да	
colloc	A2	break a promise	нарушить обещание		нечем		to fail to do what you promised	To fail to keep a promise.	совпал	Never break a promise.	Никогда не нарушай данного обещания.	да	
colloc	A2	set the table	накрывать на стол	накрыть стол	совпал		to put plates and forks on a table	To arrange plates, etc. for a meal.	совпал	Set the table.	Накрой на стол.	да	
colloc	A1	feed the cat	кормить кота		нечем		to give food to a cat		нечем	Feed the cat.	Покорми кота.	да	
colloc	A2	fast food	фастфуд, быстрая еда	фастфуд; фаст-фуд; быстрое питание; полуфабрикат	совпал		food that is cooked and served very quickly	Restaurant food that is served quickly, often standardized and pre-prepared.	совпал	We love fast food.	Мы обожаем фастфуд.	да	
colloc	A2	best friend	лучший друг	приятель; приятельница	РАЗОШЁЛСЯ		the friend you like most	An especially close and trusted friend.	совпал	I am your best friend.	Я твой лучший друг.	да	перевод расходится с Wiktionary: приятель; приятельница
colloc	A2	free time	свободное время	свободное время; досуг	совпал		time when you have nothing you must do	Time when one is not working.	совпал	I have no free time.	У меня нет свободного времени.	да	
colloc	A2	good news	хорошие новости	хорошие новости; добрая весть; благая весть	совпал		news that makes people happy	Something or someone pleasant, fortunate, or otherwise positive.	РАЗОШЁЛСЯ	It was good news.	Это была хорошая новость.	да	определение Wiktionary про другое значение: Something or someone pleasant, fortunate, or otherwise positive.
colloc	A2	long way	далеко, долгий путь		нечем		a big distance		нечем	I've come a long way.	Я прошёл долгий путь.	да	
colloc	A2	loud voice	громкий голос		нечем		a voice that is easy to hear		нечем	He has a loud voice.	У него громкий голос.	да	
colloc	B1	make a decision	принять решение	принять решение; решить	совпал		to decide something	To decide.	совпал	Make a decision.	Прими решение.	да	
colloc	B1	make a plan	составить план		нечем		to decide what you will do		нечем	Make a plan.	Составь план.	да	
colloc	B1	make progress	делать успехи		нечем		to get better at something		нечем	I'm making progress.	Я делаю успехи.	да	
colloc	B1	make an excuse	придумать оправдание		нечем		to give a reason for not doing something		нечем	You needn't make an excuse if you don't want to go with us.	Ты не должен придумывать оправдание, если ты не хочешь идти с нами.	да	
colloc	B1	make a suggestion	внести предложение		нечем		to say an idea for others to consider		нечем	Let me make a suggestion.	Позвольте мне внести предложение.	да	
colloc	B1	do your best	стараться изо всех сил		нечем		to try as hard as you can		нечем	Do your best.	Старайся изо всех сил.	да	
colloc	B1	do research	проводить исследование		нечем		to study a subject carefully		нечем	He is doing research in sociology.	Он занимается исследованиями в области социологии.	да	
colloc	B1	do a favour	оказать услугу		нечем		to do something kind for someone		нечем	Do him a favour.	Окажи ему услугу.	да	
colloc	B1	take notes	делать записи, конспектировать		нечем		to write down what you hear or read	To make a record of what one hears or observes for future reference.	совпал	Take notes.	Делайте заметки.	да	
colloc	B1	take part	принимать участие	принимать участие; участвовать; принять участие; разделять; разделить	совпал		to join an activity with others	To participate or join.	совпал	I want to take part.	Я хочу принять участие.	да	
colloc	B1	take place	происходить, состояться	случаться; случиться; состояться	совпал		to happen	To happen or to occur.	совпал	Changes are taking place.	Происходят изменения.	да	
colloc	B1	take care	беречь себя, быть осторожным	беречься; быть осторожным; заботиться; будьте здоровы; будь здоров	совпал		to be careful	To be cautious, careful or prudent.	совпал	Take care.	Береги себя.	да	
colloc	B1	take a risk	рисковать	рисковать; пойти на риск; рискнуть	совпал		to do something that may go wrong	To do something risky.	РАЗОШЁЛСЯ	We decided to take a risk.	Мы решили рискнуть.	да	определение Wiktionary про другое значение: To do something risky.
colloc	B1	take an exam	сдавать экзамен		нечем		to do an official test		нечем	I have to take an exam.	Мне надо сдать экзамен.	да	
colloc	B1	take advice	прислушаться к совету		нечем		to do what someone advises		нечем	Simplify your life. Take advice from native speakers.	Сделайте свою жизнь проще. Принимайте советы от носителей языка.	да	
colloc	B1	pay attention	обращать внимание	обращать внимание; обратить внимание	совпал		to listen and watch carefully	To attend; to be attentive; to focus one's attention.	РАЗОШЁЛСЯ	Pay attention.	Будьте внимательны!	да	определение Wiktionary про другое значение: To attend; to be attentive; to focus one's attention.
colloc	B1	pay a visit	нанести визит	нанести визит	совпал		to go and see someone	To go to the toilet.	РАЗОШЁЛСЯ	Let's pay her a visit.	Давайте нанесём ей визит.	да	определение Wiktionary про другое значение: To go to the toilet.
colloc	B1	keep a secret	хранить секрет		нечем		to not tell other people something		нечем	I can keep a secret.	Я умею хранить секреты.	да	
colloc	B1	keep calm	сохранять спокойствие		нечем		to stay calm		нечем	Keep calm.	Сохраняйте спокойствие.	да	
colloc	B1	keep in touch	поддерживать связь	на связи	совпал		to go on writing or calling someone	In contact, or in communication.	РАЗОШЁЛСЯ	Keep in touch.	Будь на связи.	да	определение Wiktionary про другое значение: In contact, or in communication.
colloc	B1	give advice	давать совет		нечем		to tell someone what you think they should do		нечем	I'm not very good at giving advice.	Я не очень хороший советчик.	да	
colloc	B1	give a speech	выступать с речью		нечем		to speak in front of a group		нечем	He was giving a speech.	Он произнес речь.	да	
colloc	B1	give permission	дать разрешение		нечем		to allow someone to do something		нечем	I didn't give you permission to leave.	Я не разрешал тебе уходить.	да	
colloc	B1	give an example	привести пример		нечем		to name one case that shows an idea		нечем	Give an example.	Приведи пример.	да	
colloc	B1	save time	экономить время		нечем		to use less time than usual		нечем	It'll save time.	Это сэкономит время.	да	
colloc	B1	save money	копить деньги		нечем		to keep money instead of spending it		нечем	I'm trying to save money.	Я пытаюсь экономить деньги.	да	
colloc	B1	waste time	тратить время впустую	терять время	совпал		to use time badly	To allow time to elapse in an unproductive manner.	совпал	He wasted time.	Он зря терял время.	да	
colloc	B1	spend money	тратить деньги		нечем		to use money to buy things		нечем	I want to spend money.	Я хочу потратить деньги.	да	
colloc	B1	earn money	зарабатывать деньги		нечем		to get money for your work		нечем	I'm earning money.	Я зарабатываю деньги.	да	
colloc	B1	lose weight	худеть	худеть; сбрасывать вес; похудеть; сбросить вес	совпал		to become lighter	To become less heavy or obese.	совпал	Are you losing weight?	Ты худеешь?	да	
colloc	B1	gain weight	набирать вес		нечем		to become heavier	To become more heavy or obese.	совпал	He gained weight.	Он набрал вес.	нет	пример не подтверждён переводом — проверить значение
colloc	B1	catch a cold	простудиться	простужаться; простывать; простудиться; простыть	совпал		to get a cold	To contract a cold.	совпал	Don't catch a cold.	Не простудись!	да	
colloc	B1	get a job	устроиться на работу		нечем		to start working somewhere		нечем	Get a job.	Найди работу.	да	
colloc	B1	get married	жениться, выходить замуж	жениться; выходить замуж; выйти замуж; пожениться	совпал		to become husband and wife	To become married (to someone).	совпал	They'll get married.	Они собираются жениться.	да	
colloc	B1	get lost	заблудиться	пошёл вон; пошла вон; убирайся; исчезни; катись	совпал		to stop knowing where you are	To lose one's way.	РАЗОШЁЛСЯ	I'll get lost.	Я заблужусь.	да	определение Wiktionary про другое значение: To lose one's way.
colloc	B1	get in touch	связаться		нечем		to contact someone	To attempt to contact, reach out. (This entry is a translation hub.).	совпал	Did you get in touch with her?	Ты с ней связался?	да	
colloc	B1	change your mind	передумать	передумывать; раздумывать; передумать; раздумать	совпал		to make a different decision	To decide differently than one had decided before.	совпал	You'll change your mind.	Ты передумаешь.	да	
colloc	B1	solve a problem	решать задачу, решать проблему		нечем		to find an answer to a problem		нечем	Science never solves a problem without creating ten more.	Наука никогда не решает проблемы, не создав десять других.	да	
colloc	B1	follow the rules	соблюдать правила		нечем		to do what the rules say		нечем	Follow the rules.	Соблюдайте правила!	да	
colloc	B1	follow instructions	следовать инструкции		нечем		to do exactly what you are told		нечем	I didn't follow instructions.	Я не следовал инструкциям.	да	
colloc	B1	offer help	предложить помощь		нечем		to say you are ready to help		нечем	They offered help.	Они предложили помощь.	да	
colloc	B1	heavy rain	сильный дождь		нечем		rain that falls hard and fast		нечем	A heavy rain fell.	Прошёл проливной дождь.	да	
colloc	B1	heavy traffic	плотное движение на дорогах		нечем		many cars moving slowly		нечем	What heavy traffic!	Какое сильное движение!	да	
colloc	B1	strong coffee	крепкий кофе		нечем		coffee with a lot of taste		нечем	It smells of strong coffee.	Пахнет крепким кофе.	да	
colloc	B1	strong wind	сильный ветер		нечем		wind that blows hard		нечем	A strong wind arose.	Поднялся сильный ветер.	да	
colloc	B1	close friend	близкий друг		нечем		a friend you trust a lot		нечем	Tom's a close friend.	Том — близкий друг.	да	
colloc	B1	hard work	тяжёлый труд	тяжёлая работа; тяжёлый труд; труд	совпал		work that needs a lot of effort	Something requiring much effort to accomplish, either physical, mental or emotional; labor; toil.	совпал	It's hard work.	Это тяжёлая работа.	да	
colloc	B1	bright idea	блестящая идея		нечем		a very clever idea		нечем	That's a bright idea.	Это отличная идея.	да	
colloc	B1	high price	высокая цена		нечем		a price that is a lot of money		нечем	He sold the house for a high price.	Он продал дом по высокой цене.	да	
colloc	B1	deep sleep	глубокий сон		нечем		sleep from which it is hard to wake	Used other than figuratively or idiomatically: see deep,‎ sleep.	совпал	She's in a deep sleep.	Она глубоко спит.	да	
colloc	B1	bad habit	дурная привычка		нечем		something bad that you often do		нечем	It's a bad habit.	Это плохая привычка.	да	
colloc	B1	hard time	трудный период		нечем		a difficult time in your life	Difficulties; a difficult time; trouble.	совпал	Everybody had a hard time.	Всем было трудно.	да	
colloc	B1	main reason	главная причина		нечем		the most important reason		нечем	What's the main reason?	Какова основная причина?	да	
colloc	B1	warm welcome	тёплый приём		нечем		a friendly greeting		нечем	I received a warm welcome.	Я получил тёплый приём.	да	
colloc	B1	deep breath	глубокий вдох		нечем		a big amount of air taken in		нечем	Take a deep breath.	Сделайте глубокий вдох.	да	
colloc	B1	busy street	оживлённая улица		нечем		a street with many people and cars		нечем	We live on a busy street.	Мы живём на оживлённой улице.	да	
colloc	B2	make an effort	приложить усилие	пытаться; стараться; делать усилие; прилагать усилие; попытаться	совпал		to try hard to do something	To try; to work towards a goal.	совпал	Make an effort.	Сделай усилие.	да	
colloc	B2	make an impression	произвести впечатление		нечем		to make people notice and remember you	To affect someone strongly and often favorably.	РАЗОШЁЛСЯ	I am not making an impression on them.	Я не произвожу на них впечатления.	да	определение Wiktionary про другое значение: To affect someone strongly and often favorably.
colloc	B2	make a difference	изменить положение к лучшему		нечем		to have a real effect on something	To carry out an action, the result of which is a significant change, or an altered circumstance.	РАЗОШЁЛСЯ	Will that make a difference?	Это что-то изменит?	да	определение Wiktionary про другое значение: To carry out an action, the result of which is a significant change, or an altered circumstance.
colloc	B2	make sense	иметь смысл	иметь смысл; быть понятным; понятно; понимать; разбирать	совпал		to be clear and reasonable	To be sensible, coherent, reasonable.	совпал	It makes sense.	Это имеет смысл.	да	
colloc	B2	make a living	зарабатывать на жизнь	зарабатывать на жизнь; заработать на жизнь	совпал		to earn enough money to live	To earn enough income to support oneself and, if applicable, one's family.	совпал	It's how I make a living.	Этим я зарабатываю себе на хлеб.	да	
colloc	B2	take responsibility	брать на себя ответственность		нечем		to accept that something is your duty	To blame oneself for something; to acknowledge a fault.	РАЗОШЁЛСЯ	I'll take responsibility.	Я возьму на себя ответственность.	да	определение Wiktionary про другое значение: To blame oneself for something; to acknowledge a fault.
colloc	B2	take advantage of	воспользоваться (случаем)	воспользоваться; использовать; эксплуатировать	совпал		to use a chance well	To use or make use of.	совпал	Take advantage of her weakness.	Воспользуйся её слабостью.	да	
colloc	B2	take action	принимать меры		нечем		to start doing something about a problem	To act; to act positively and decisively to resolve a problem.	совпал	Take action.	Прими меры.	да	
colloc	B2	take into account	принимать во внимание	учитывать; принимать в расчёт; принимать во внимание; принимать к сведению; иметь в виду	совпал		to think about something when deciding	To consider or regard; to include (as in an estimate or plan) or pay attention to; to notice; to allow for.	РАЗОШЁЛСЯ	We should take into account she is still young.	Нам следует принять во внимание, что она ещё молода.	да	определение Wiktionary про другое значение: To consider or regard; to include (as in an estimate or plan) or pay attention to; to notice; to allow for.
colloc	B2	take steps	предпринимать шаги		нечем		to do the things needed to reach a goal	To initiate a course of action, often against something that one disapproves of.	РАЗОШЁЛСЯ	Secondly, we must take steps to correct these errors.	Во-вторых, мы должны предпринять шаги по исправлению этих ошибок.	да	определение Wiktionary про другое значение: To initiate a course of action, often against something that one disapproves of.
colloc	B2	reach an agreement	прийти к соглашению		нечем		to agree after talking		нечем	We've reached an agreement.	Мы пришли к соглашению.	да	
colloc	B2	reach a decision	прийти к решению		нечем		to decide after thinking		нечем	Have you reached a decision?	Вы пришли к какому-то решению?	да	
colloc	B2	meet a deadline	уложиться в срок		нечем		to finish work in time		нечем				примера нет: фразы нет в предложении
colloc	B2	meet the requirements	соответствовать требованиям		нечем		to have everything that is asked for		нечем	Our college won't admit Tom until he meets all the requirements.	Тома не примут в наш вуз, пока он не будет отвечать всем требованиям.	да	
colloc	B2	meet expectations	оправдать ожидания		нечем		to be as good as people hoped		нечем	You didn't meet my expectations.	Ты не оправдал моих ожиданий.	да	
colloc	B2	raise a question	поднять вопрос		нечем		to bring up something to discuss		нечем	This translation raises a few questions.	Этот перевод вызывает кое-какие вопросы.	да	
colloc	B2	raise awareness	привлечь внимание к проблеме		нечем		to make people know about something		нечем				примера нет: нет предложений в Tatoeba
colloc	B2	raise money	собрать деньги		нечем		to collect money for a purpose		нечем	The singers sang together in order to raise money to help people with AIDS.	Певцы спели вместе, чтобы собрать деньги для помощи больным СПИДом.	да	
colloc	B2	draw a conclusion	сделать вывод		нечем		to decide what the facts show		нечем	Draw a conclusion.	Сделай вывод.	да	
colloc	B2	draw attention	привлечь внимание	привлекать внимание; привлечь внимание	совпал		to make people notice something	To rouse someone to notice something, to cause someone to focus on something.	совпал	Don't draw attention to yourself.	Не привлекай к себе внимание.	да	
colloc	B2	set a goal	поставить цель		нечем		to decide what you want to achieve		нечем	The new year is a time to set new goals for yourself.	Новый год - это время ставить перед собой новые цели.	нет	пример не подтверждён переводом — проверить значение
colloc	B2	set an example	подать пример		нечем		to behave so that others can copy you	To behave in a way that other people should.	совпал	I had to set an example.	Мне пришлось подать пример.	да	
colloc	B2	set a record	установить рекорд		нечем		to do better than anyone before		нечем	She set a new world record.	Она установила новый мировой рекорд.	да	
colloc	B2	break a record	побить рекорд		нечем		to do better than the best result so far		нечем				примера нет: нет предложений в Tatoeba
colloc	B2	break a habit	избавиться от привычки		нечем		to stop doing something you often do		нечем	It's hard to break a habit.	Трудно побороть привычку.	да	
colloc	B2	break the rules	нарушать правила		нечем		to do what the rules forbid		нечем	You're breaking the rules.	Вы нарушаете правила.	да	
colloc	B2	gain experience	набираться опыта		нечем		to slowly learn by doing something		нечем	Tom gained experience points.	Том заработал очки опыта.	да	
colloc	B2	gain confidence	обрести уверенность		нечем		to start believing in yourself		нечем	His sincerity gained the confidence of everyone.	Своей искренностью он завоевал доверие всех.	нет	пример не подтверждён переводом — проверить значение
colloc	B2	lose patience	терять терпение	терять терпение	совпал		to stop being patient	To become impatient.	РАЗОШЁЛСЯ	Don't lose patience.	Не теряй терпения.	да	определение Wiktionary про другое значение: To become impatient.
colloc	B2	lose interest	терять интерес		нечем		to stop caring about something		нечем	When I see typos I lose interest in answering.	Когда я вижу опечатки, у меня пропадает интерес отвечать.	да	
colloc	B2	run a business	вести дело, управлять бизнесом		нечем		to be in charge of a company		нечем	I don't know a thing about running a business.	Я ничего не смыслю в ведении бизнеса.	да	
colloc	B2	run a risk	идти на риск		нечем		to put yourself in a risky position	To perform an action which may result in a loss or failure.	РАЗОШЁЛСЯ	I don't like to run a risk.	Я не люблю рисковать.	да	определение Wiktionary про другое значение: To perform an action which may result in a loss or failure.
colloc	B2	hold a meeting	проводить встречу		нечем		to organise and lead a meeting		нечем	We hold a meeting once a month.	Мы проводим встречу раз в месяц.	да	
colloc	B2	hold your breath	задержать дыхание	затаить дыхание	совпал		to stop breathing for a moment	Used other than figuratively or idiomatically: see hold,‎ one's,‎ breath. To keep air in one's lungs.	совпал	Hold your breath.	Задержите дыхание.	да	
colloc	B2	play a role	играть роль		нечем		to have a part in something	To have an effect or influence on a situation or outcome; to contribute to something.	РАЗОШЁЛСЯ	He played a key role in the movement.	Он сыграл ключевую роль в движении.	да	определение Wiktionary про другое значение: To have an effect or influence on a situation or outcome; to contribute to something.
colloc	B2	bear in mind	иметь в виду	иметь в виду; помнить	совпал		to remember something important	To hold (something) in the memory; to remember; also.	совпал	Bear in mind that school is an integrated junior high and high school.	Имейте в виду, что эта школа - это единая средняя и старшая школа.	да	
colloc	B2	express an opinion	высказать мнение		нечем		to say what you think		нечем	Why am I being insulted for simply expressing an opinion?	Почему меня оскорбляют, если я всего лишь выражаю своё мнение?	да	
colloc	B2	share an opinion	поделиться мнением		нечем		to tell others what you think		нечем				примера нет: нет предложений в Tatoeba
colloc	B2	face a problem	столкнуться с проблемой		нечем		to have to deal with a problem		нечем	He is faced with a difficult problem.	Он столкнулся со сложной проблемой.	да	
colloc	B2	cause a problem	создавать проблему		нечем		to make a problem happen		нечем	The influx of foreign workers has caused a serious housing problem in this area.	Приток иностранных рабочих привёл к серьёзной жилищной проблеме в этой области.	да	
colloc	B2	provide support	оказывать поддержку		нечем		to give help to someone		нечем	They provided support.	Они оказали поддержку.	да	
colloc	B2	accept an offer	принять предложение		нечем		to say yes to what is offered		нечем				примера нет: нет предложений в Tatoeba
colloc	B2	keep track of	отслеживать, держать на контроле	отслеживать; следить; отследить; проследить	совпал		to know what is happening with something	To monitor; to track or record; to understand or follow.	РАЗОШЁЛСЯ	Keep track of your finances.	Держи свои финансы на контроле.	да	определение Wiktionary про другое значение: To monitor; to track or record; to understand or follow.
colloc	B2	common sense	здравый смысл	здравый смысл; ум-разум	совпал		the normal ability to think sensibly	Ordinary sensible understanding.	совпал	He lacks common sense.	Ему не хватает здравого смысла.	да	
colloc	B2	wide range	широкий выбор, широкий спектр		нечем		many different kinds of something		нечем	We discussed a wide range of topics.	Мы обсудили широкий круг вопросов.	да	
colloc	B2	key factor	ключевой фактор		нечем		the most important cause of a result		нечем	Readiness for a crisis is a key factor in success.	Готовность к борьбе с кризисами является ключевым фактором успеха.	да	
colloc	B2	major change	серьёзное изменение		нечем		a big and important change		нечем				примера нет: нет предложений в Tatoeba
colloc	B2	significant difference	существенная разница		нечем		a difference that matters		нечем	I don't see a significant difference.	Не вижу особой разницы.	да	
colloc	B2	valuable experience	ценный опыт		нечем		experience that is worth a lot		нечем	That was a valuable experience.	Это был ценный опыт.	да	
colloc	B2	serious mistake	серьёзная ошибка		нечем		a mistake with big results		нечем	I made a serious mistake.	Я совершил серьёзную ошибку.	да	
colloc	B2	strong argument	веский довод		нечем		a reason that is hard to answer		нечем	That's a strong argument.	Это весомый аргумент.	нет	пример не подтверждён переводом — проверить значение
colloc	B2	clear evidence	явное доказательство		нечем		facts that plainly show something		нечем				примера нет: фразы нет в предложении
colloc	B2	urgent need	насущная необходимость		нечем		a need that must be met at once		нечем				примера нет: фразы нет в предложении
colloc	B2	tight schedule	плотный график		нечем		a plan with very little spare time		нечем	I have a tight schedule.	У меня плотный график.	да	
colloc	C1	strike a balance	найти равновесие		нечем		to find a fair middle between two things	To find a compromise between two conflicting things; to choose a moderate option between two extremes.	совпал	We should strike a balance between our expenditure and income.	Нам следует установить баланс между расходами и прибылью.	нет	пример не подтверждён переводом — проверить значение
colloc	C1	take the initiative	взять инициативу на себя		нечем		to act first without being asked	To take action first or on one's own; to make the first move.	совпал	Loiseau is the only one taking initiative.	Луазо - единственный, кто берёт на себя инициативу.	да	
colloc	C1	exceed expectations	превзойти ожидания		нечем		to be better than people hoped		нечем	It exceeded my expectations.	Он превзошёл все мои ожидания.	да	
colloc	C1	pose a threat	представлять угрозу		нечем		to be a possible danger		нечем	We consider cyber terrorism to pose a serious threat to international security.	Мы считаем, что кибертерроризм представляет серьёзную угрозу международной безопасности.	да	
colloc	C1	bridge the gap	устранить разрыв	сократить разрыв	совпал		to bring two different things closer	To serve as or create a connection between disconnected or disparate things.	совпал	We must bridge the gap which separates us from our competitors.	Мы должны сократить расстояние, отделяющее нас от конкурентов.	нет	пример не подтверждён переводом — проверить значение
colloc	C1	lay the foundation	заложить основу		нечем		to prepare the base for something bigger		нечем				примера нет: длина английского предложения
colloc	C1	shed light on	пролить свет на	пролить свет	совпал		to make something easier to understand	To illuminate; to make clear.	РАЗОШЁЛСЯ	I will shed light on that incident.	Я пролью свет на этот инцидент.	да	определение Wiktionary про другое значение: To illuminate; to make clear.
colloc	C1	draw a distinction	проводить различие		нечем		to show how two things differ		нечем				примера нет: нет предложений в Tatoeba
colloc	C1	gain momentum	набирать обороты		нечем		to grow faster and stronger	To increase something's own speed while being acted on by gravity.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To increase something's own speed while being acted on by gravity.; примера нет: длина английского предложения
colloc	C1	broaden your horizons	расширять кругозор		нечем		to learn about new things and places		нечем	Good movies broaden your horizons.	Хорошие фильмы расширяют наш кругозор.	да	
colloc	C1	meet a challenge	справиться с трудной задачей		нечем		to deal well with a hard task		нечем				примера нет: нет предложений в Tatoeba
colloc	C1	voice concerns	выразить озабоченность		нечем		to say openly that you are worried		нечем				примера нет: нет предложений в Tatoeba
