слово	уровень	ранг	часть речи	перевод(черновик)	варианты перевода	пример	перевод примера	определение	категория	чего не хватает
biscuit	C1	13533	Noun	печенье	бисквит	Have a biscuit.	Съешь печенье.	A small, flat, baked good which is either hard and crisp or else soft but firm; a cookie.		категория не определилась (не определилась)
lineup	C1	13534	Noun			police lineup		A physical or photographic queue of people allegedly involved in a crime, allowing a witness to identify them.		нет русского перевода в Wiktionary; пример: не для детей [преступления]: thief; категория не определилась (не определилась)
vassal	C2	33308	Noun	вассал		The manor's vassals owed first fruits and a tithe to the parish church, another 10% to the lord (including at least 50 eels), a week or two each year of service in the manor's upkeep, and service in the local fyrd.		The grantee of a fief, a subordinate granted use of a superior's land and its income in exchange for vows of fidelity and homage and.		пример: не для детей [страны и национальности]: europe; многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Verb); категория не определилась (не определилась)
gulf	B2	6023	Noun	залив	пучина			A hollow place in the earth; an abyss; a deep chasm or basin.		пример: слово в примере — имя собственное; категория не определилась (не определилась)
cavity	C1	13536	Noun	впадина	дыра; яма	I have a cavity.	У меня полость в зубе.	A hole or hollow depression in a solid object.		перевод примера относится к другому значению; категория не определилась (не определилась)
polish	B1	4142	Verb	полировать	шлифовать	He polished up the chrome until it gleamed.		To shine; to make a surface very smooth or shiny by rubbing, cleaning, or grinding.	actions	пример: слово в примере — имя собственное
chiropractic	C1	13537	Noun	хиропрактика				A system of health care involving manipulation of the spinal column and other body structures.		пример: Tatoeba недоступна (offline: нет в кэше); категория не определилась (не определилась)
heavily	B1	4143	Adverb		in a heavy manner → тяжело/сильно; in a manner designed for heavy duty → тяжело; in a laboured manner → тяжело/с трудом	It snowed heavily.	Шёл сильный снег.	With a great weight.	qualities	перевод не привязывается к значению — риск взять чужое
yen	B2	6029	Noun	иена		It's 50 yen.	50 иен.	The unit of Japanese currency (symbol: ¥) since 1871, divided into 100 sen.		многозначное слово, подтвердить перевод нечем (3 разных этимологий); категория не определилась (не определилась)
zod	C2	33313	Noun					A loser; a contemptible or uncool person.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
subscribe	B1	4145	Verb	подписываться	выписывать; подписаться; выписать	Please like and subscribe.	Пожалуйста, ставьте лайки и подписывайтесь.	To write (one's name) at the bottom of a document; to sign (one's name).	actions	перевод примера относится к другому значению
coll	C1	13545	Verb					To hug or embrace.	actions	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
pound	B1	4149	Noun	фунт		It's two pounds.	Это два фунта.	A unit of weight in various measurement systems. Ellipsis of pound weight. Various non-English units of measure.		категория не определилась (не определилась)
tier	C1	13546	Noun	ярус	слой; уровень; ряд	John is obsessed about getting into a top tier university.	Джон одержим идеей попасть в университет высшего класса.	One who ties (knots, etc.).	people	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
buh	C2	33319	Noun			Buh-bye!	До свидания!	Pronunciation spelling of butt.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
throughput	C1	13547	Noun	пропускная способность				The rate at which data is transferred through a system.	tech	пример: нет предложений в Tatoeba
bunter	C2	33320	Noun			Glavine was a renowned bunter of the ball.		One who bunts.	people	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
riddle	C1	13548	Noun	загадка	ребус	Is this a riddle?	Это головоломка?	A verbal puzzle, mystery, or other problem of an intellectual nature.		многозначное слово, подтвердить перевод нечем (4 разных этимологий); категория не определилась (не определилась)
reward	B1	4152	Noun	вознаграждение	награда; премия	He deserves a reward.	Он заслуживает вознаграждения.	Something of value given in return for an act.		категория не определилась (не определилась)
guilt	B2	6039	Noun	вина	виновность; провинность	Sami admitted guilt.	Сами признал вину.	Responsibility for wrongdoing.		многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Noun/Verb/Adjective); категория не определилась (не определилась)
bernard	B2	6041	Noun					Shortened form of Saint Bernard (the dog).		нет русского перевода в Wiktionary; пример: не для детей [политика и конфликты]: iraq; категория не определилась (не определилась)
vineyard	C1	13550	Noun	виноградник		The vineyard of Château Margaux stands as the producer of one of the world's greatest and most sought-after red wines.		A grape plantation, especially one used in the production of wine.		пример: длина английского предложения; категория не определилась (не определилась)
console	B2	6042	Noun	пульт		Who will console me?	Кто меня утешит?	A stand-alone cabinet designed to stand on the floor; especially, one integrated with home entertainment equipment.	home	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
wholesale	B2	6043	Noun	оптовая торговля		A retail merchant buys wholesale and sells retail.	Розничные торговцы покупают товар оптом, а продают в розницу.	The sale of products, often in large quantities, to retailers or other merchants.		категория не определилась (не определилась)
continuous	B2	6044	Adjective	непрерывный		the continuous roar of a waterfall		Without stopping; without a break, cessation, or interruption.	qualities	пример: слова нет в предложении
pascal	C1	13554	Noun	паскаль				In the International System of Units, the derived unit of pressure and stress; one newton per square metre. Symbol: Pa.		пример: длина английского предложения; категория не определилась (не определилась)
filly	C2	33328	Noun	кобылка	кобылица; жеребица	Is Cookie a colt or a filly?	Куки жеребёнок или кобылка?	A young female horse.		категория не определилась (не определилась)
broadcast	B1	4161	Adjective	широковещательный		This is a live broadcast.	Это прямая трансляция.	Cast or scattered widely in all directions; cast abroad.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Noun/Verb)
credible	C1	13558	Adjective			You're credible.	Тебе можно доверять.	Believable or plausible.	qualities	нет русского перевода в Wiktionary
diary	B1	4162	Noun	дневник	ежедневник	Keep a diary.	Веди дневник!	A daily log of experiences, especially those of the writer.		категория не определилась (не определилась)
instructional	B2	6051	Adjective			The manual might have been instructional had anybody actually taken the time to read it.		Intended for purposes of instruction, for teaching.	qualities	нет русского перевода в Wiktionary; пример: слова нет в предложении
selective	C1	13563	Adjective	выборный	селективный; избирательный			Of or relating to the process of selection.	qualities	пример: слова нет в предложении
mel	B2	6052	Noun					A unit of pitch on a scale of pitches perceived by listeners to be equally spaced from one another.		нет русского перевода в Wiktionary; пример: длина английского предложения; категория не определилась (не определилась)
peak	B1	4168	Noun	кончик	остриё	We've reached the peak.	Мы достигли вершины.	A point; the sharp end or top of anything that terminates in a point; as, the peak, or front, of a cap.		пример иллюстрирует другое значение (4 разных этимологий; части речи: Noun/Verb/Adjective); категория не определилась (не определилась)
recorder	B2	6054	Noun	магнитофон	видеомагнитофон; самопишущий прибор			An apparatus for recording; a device which records.	tech	пример: слова нет в предложении; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
fracking	C2	33339	Noun					Hydraulic fracturing.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
pile	B2	6056	Noun	груда	куча; стопка	Whose pile of junk is this?	Чья это груда хлама?	A mass of things heaped together; a heap.		категория не определилась (не определилась)
unspecified	C1	13569	Adjective					Not specified; not thoroughly explained or detailed; not adequately commented.	communication	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
unannounced	C2	33340	Adjective			He arrives unannounced.	Он приходит без предупреждения.	Not announced beforehand.	qualities	нет русского перевода в Wiktionary
midi	B2	6057	Adjective			midi skirt		Having a hemline at mid-calf length.	qualities	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
firebird	C2	33341	Noun		vermilion flycatcher → огненный мухоед/красный тиранн; glowing or burning bird (Slavic mytholog → жар-птица			A scarlet tanager (Piranga olivacea). (This species is now classified as belonging to the cardinal family: Cardinalidae).		перевод не привязывается к значению — риск взять чужое; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
soap	B1	4177	Noun	мыло		I sell soap.	Я продаю мыло.	A metallic salt derived from a fatty acid, commonly used in cleaning products.		категория не определилась (не определилась)
gruel	C2	33343	Noun	(жидкая) каша	кашица	Rice gruel is easy to digest.	Рисовая каша легко переваривается.	A thin, watery porridge, formerly eaten primarily by the poor and the ill.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
muse	C1	13573	Noun	муза		You're my muse.	Вы моя муза.	Of a person: a source of inspiration.		категория не определилась (не определилась)
walt	B2	6064	Verb					To roll; tumble.	actions	нет русского перевода в Wiktionary; пример: предложение не целое
impoverished	C2	33346	Adjective	обедневший	обнищавший			Reduced to poverty.	qualities	пример: не для детей [страны и национальности]: haiti
kaji	C2	33347	Noun	кадж				An ugly anthropomorphic spirit.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
conscience	B2	6069	Noun	совесть		I'm your conscience.	Я твоя совесть.	The ethical or moral sense of right and wrong.		категория не определилась (не определилась)
tummy	C1	13581	Noun	живот	пузо; брюхо; брюшко	Mommy, I have a tummy ache.	Мамочка, у меня животик бобо.	The stomach or belly.		категория не определилась (не определилась)
container	B2	6070	Noun	контейнер	ёмкость; тара; сосуд			Someone who contains; something that contains. An item in which objects, materials or data can be stored or transported.	people	пример: слова нет в предложении
travis	B2	6071	Noun					A wooden frame to confine a horse while the smith is setting his shoes.	clothes	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
occurrence	C1	13585	Noun	происшествие	случай	This is a daily occurrence.	Это происходит каждый день.	An actual instance when a situation occurs; an event or happening.		категория не определилась (не определилась)
generalized	C1	13586	Adjective	обобщённый		The generalized formula applies to all cases, the specialized one only works on simple problems.		Made more general, less specialized.	qualities	пример: слова нет в предложении
limelight	C2	33353	Noun		type of stage lighting → свет рампы; attention or notice → центр внимания	I'm not accustomed to being in the limelight.	Я не привык быть в центре внимания.	The intense white light produced when heating lime in an oxyhydrogen flame.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
packet	B2	6075	Noun	пакет	пачка	A packet of flour weighs a kilo.	Пакет муки весит килограмм.	A small pack or package; a little bundle or parcel.		категория не определилась (не определилась)
cruelty	C1	13587	Noun	жестокость	безжалостность; бессердечность; свирепость	Human cruelty has no limits.	Человеческая жестокость не имеет пределов.	An indifference to suffering or pleasure in inflicting suffering.		категория не определилась (не определилась)
morph	C2	33354	Noun	морф				A recurrent distinctive sound or sequence of sounds representing an indivisible morphological form; especially as representing a morpheme.		пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (5 разных этимологий); категория не определилась (не определилась)
debug	B2	6078	Verb	отлаживать	устранять неполадки; отладить			To search for and eliminate malfunctioning elements or errors in something, especially a computer program or machinery.	tech	пример: не для детей [прочее тяжёлое]: hate
comparative	C1	13588	Adjective	сравнительный		He gave us a comparative example to illustrate how the human mind works.		Of or relating to comparison.	qualities	пример: слова нет в предложении
confusion	B2	6079	Noun	путаница	неразбериха; беспорядок	Confusion arose.	Возникла путаница.	A lack of clarity or order.		категория не определилась (не определилась)
tamper	C2	33357	Noun	пест		I won't tamper with it.	Я не буду в это вмешиваться.	A person or thing that tamps. A tool used to tamp something down, such as tobacco in a pipe.	people	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
thumb	B2	6083	Noun	большой палец		The child sucked her thumb.	Ребёнок сосал большой палец.	The shortest and thickest digit of the hand that for humans has the most mobility and can be made to oppose.		категория не определилась (не определилась)
rite	C1	13593	Noun	обряд	ритуал			A religious custom.		пример: не для детей (в переводе): свящ; многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Noun/Adjective/Adverb); категория не определилась (не определилась)
motherland	C2	33361	Noun	родина	отчизна; отечество	I love my motherland.	Я очень люблю родину.	The country of one's ancestors.		категория не определилась (не определилась)
vibrating	C1	13597	Adjective			It's vibrating.	Он вибрирует.	That vibrates.	qualities	нет русского перевода в Wiktionary
recreation	B2	6088	Noun	развлечение	отдых	What do you do for recreation around here?	Какие у вас тут развлечения?	Any activity, such as play, that amuses, diverts or stimulates.		категория не определилась (не определилась)
believer	C1	13598	Noun	верующий	верующая	She's a believer in life after death.		A person who believes; especially regarding religion.	people	пример: слова нет в предложении
regain	C1	13599	Verb			We regained consciousness.	Мы пришли в себя.	To get back; to recover possession of.	actions	нет русского перевода в Wiktionary
outflow	C2	33364	Noun	отток				The process of flowing out.	actions	пример: нет предложений в Tatoeba
quahog	C2	33369	Noun					An edible clam with a hard shell found along the Atlantic Coast of North America, from species Mercenaria mercenaria.	food	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
arabic	B2	6095	Noun					Ellipsis of gum arabic.		нет русского перевода в Wiktionary; пример: слово в примере — имя собственное; категория не определилась (не определилась)
accountability	C1	13604	Noun	отчётность	подотчётность; ответственность			The state of being accountable.		пример: слова нет в предложении; категория не определилась (не определилась)
pic	B2	6097	Noun			Change your profile pic.	Поменяй аватарку.	A picture, especially a photographic image.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
insurer	C1	13605	Noun	страховщик		After the accident I contacted the insurer who paid for the repairs.		One who insures.	people	пример: слова нет в предложении
goddess	B2	6098	Noun	богиня				A female deity.		пример: не для детей [страны и национальности]: greek; категория не определилась (не определилась)
crackers	C1	13606	Noun			You've got crackers.	Ты спятил.	A kind of noisy leather pants or trousers.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
vamp	C2	33374	Noun	вамп				The top part of a boot or shoe, above the sole and welt and in front of the ankle seam, that covers the instep and toes.	clothes	пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (3 разных этимологий)
distraction	C1	13607	Noun	отвлечение		Poking one's eye is a good distraction from a hurting toe.		Something that distracts.		пример: слова нет в предложении; категория не определилась (не определилась)
multicast	C1	13608	Noun			multicast address		The simultaneous transmission of data to several destinations on a network.	tech	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
americano	C2	33378	Noun	американо				A drink made of espresso coffee diluted with hot water.	food	пример: нет предложений в Tatoeba
sierra	B2	6101	Noun					A rugged range of mountains.		нет русского перевода в Wiktionary; пример: слово в примере — имя собственное; категория не определилась (не определилась)
venom	C1	13609	Noun	яд		This murky liquid contains venom.	Эта мутная жидкость содержит яд.	An animal toxin intended for defensive or offensive use; a biological poison delivered by bite, sting, etc.	animals	многозначное слово, подтвердить перевод нечем (части речи: Noun/Verb/Adjective)
stalking	C1	13613	Noun	сталкинг	сталкерство	He's stalking him.	Он его выслеживает.	The act of going stealthily.	actions	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
banishment	C2	33381	Noun	изгнание	высылка	The judge pronounced banishment upon the war criminal.		The act of banishing.	actions	пример: длина английского предложения
unto	B2	6104	Conjunction			Evil unto him who thinks evil of it.	Да устыдится тот, кто дурно об этом думает.	Up to the time or degree that; until.	linkers	нет русского перевода в Wiktionary
centigrade	C2	33385	Adjective			The temperature went down to minus ten degrees centigrade last night.	Прошлой ночью похолодало до минус десяти.	Having 100 divisions between two fixed points.	qualities	нет русского перевода в Wiktionary
cornflakes	C2	33386	Noun	кукурузные хлопья	хлопья; корнфлекс			A breakfast cereal made from toasted flakes of maize.	objects	пример: не для детей (в переводе): рак
nil	C1	13622	Noun	ничто	ноль	This means nil.	Это ничего не значит.	Nothing; zero.		категория не определилась (не определилась)
maya	B2	6117	Noun			Maya and Chloe are friends.	Майя и Хлоя - подруги.	Magic; supernatural power as held by the gods.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
hav	C2	33393	Verb					Informal spelling of have.	actions	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
incubus	C1	13629	Noun	инкуб	демон; злой дух; злой гений			An evil spirit supposed to oppress people while asleep, especially to have sex with women as they sleep.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
discontent	C2	33394	Noun			I'm very discontented.	Я очень недоволен.	Dissatisfaction.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
bacon	B2	6128	Noun	бекон	ветчина	I love bacon.	Я люблю бекон!	Cured meat from the sides, belly, or back of a pig.		категория не определилась (не определилась)
glitter	C1	13630	Noun	блеск		This ring has lost its glitter.	Это кольцо потеряло свой блеск.	A bright, sparkling light; shininess or brilliance.		категория не определилась (не определилась)
insight	B2	6132	Noun	интроспекция	инсайт	Compared to his father, he lacks insight.	По сравнению с отцом, ему не хватает проницательности.	A sight or view of the interior of anything; a deep inspection or view; introspection; frequently used with into.		перевод примера относится к другому значению; категория не определилась (не определилась)
viva	C1	13632	Verb					To cheer, applaud.	actions	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: не для детей [лозунг]: Viva Ukraine!
saba	C2	33398	Noun					A sweet grape syrup made from grape must.	objects	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
utility	B2	6135	Noun	полезность		Utility payments are higher in the winter.	Коммунальные платежи зимой выше.	The state or condition of being useful; usefulness.		категория не определилась (не определилась)
huzzah	C2	33399	Noun					A cheer often associated with sailors, shouted by a group in praise of a thing or event.		нет русского перевода в Wiktionary; пример: длина английского предложения; категория не определилась (не определилась)
goodman	C1	13635	Noun					A familiar appellation of civility for a man.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
inspirational	C1	13636	Adjective					Having the ability to inspire.	qualities	нет русского перевода в Wiktionary; пример: слова нет в предложении
busty	C1	13638	Adjective	грудастый	грудастый	I could see a busty blonde at the end of the boardwalk.		Having large breasts.	qualities	пример: нет предложений в Tatoeba
leak	B2	6142	Noun	утечка	течь; протечка; пробоина	It's a leak.	Это утечка.	A crack, crevice, fissure, or hole which admits water or other fluid, or lets it escape.		категория не определилась (не определилась)
octane	C2	33404	Noun	октан				Any of the eighteen isomeric aliphatic hydrocarbons (C8H18) found in petroleum, especially an iso-octane 2,2,4 trimethyl-pentane.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
flap	C1	13641	Noun		flap of a garment → пола/подол; furniture flap / hinged leaf → откидная доска/откидная доска; upset / stir → возбуждение; flap of wings etc → хлопанье; concerning an aeroplane → закрылок	Birds flap their wings to fly.	Чтобы лететь, птицы машут крыльями.	Anything broad and flexible that hangs loose, or that is attached by one side or end and is easily moved.	actions	перевод не привязывается к значению — риск взять чужое
kono	C1	13645	Noun					A traditional Maori woven basket.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
statue	B2	6148	Noun	статуя	изваяние			A three-dimensional work of art, usually representing a person or animal, usually created by sculpting, carving, molding, or casting.	animals	пример: Tatoeba недоступна (offline: нет в кэше)
circumference	C2	33409	Noun	окружность	периметр	How do you calculate the length of the circumference? I've forgotten.	Как вычислить длину окружности? Я забыл.	The line that bounds a circle or other two-dimensional figure.		категория не определилась (не определилась)
overview	B2	6153	Noun	обозрение		To begin with, read through each chapter quickly to get an overview of it.	Сначала читай каждую главу быстро, чтобы получить первое впечатление от неё как бы с высоты птичьего полёта.	A brief summary, as of a book or a presentation.		категория не определилась (не определилась)
pajama	C2	33413	Noun			He wore pajamas.	Он был в пижаме.	Attributive form of pajamas.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
quarry	C1	13651	Noun	каменоломня	карьер	Michelangelo personally quarried marble from the world-famous quarry at Carrara.		A site for mining stone, such as limestone, or slate.	places	пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (3 разных этимологий)
dishonesty	C2	33414	Noun	нечестность	бесчестность			The characteristic or condition of being dishonest.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
zodiac	C1	13652	Noun	зодиак		What's your zodiac sign?	Кто ты по знаку зодиака?	The belt-like region of the celestial sphere, approximately eight degrees north and south of the ecliptic.		категория не определилась (не определилась)
quake	C1	13653	Noun	тряска		We felt a quake in the apartment every time the train went by.		A trembling or shaking.		пример: не для детей [оружие и война]: nuclear; категория не определилась (не определилась)
corkscrew	C2	33416	Noun	штопор		I wonder where the corkscrew is.	Интересно, где штопор.	An implement for opening bottles that are sealed by a cork. Sometimes specifically such an implement that includes a screw-shaped part.		категория не определилась (не определилась)
kay	B2	6160	Noun	кэй	ка			The name of the Latin script letter K/k.		пример: длина английского предложения; многозначное слово, подтвердить перевод нечем (3 разных этимологий); категория не определилась (не определилась)
bestow	C2	33418	Verb	использовать	употреблять; употребить	She bestowed a gift on me.	Она вручила мне подарок.	To apply or make use of (someone or something); to employ, to use. To apply (money) for some purpose; to expend, to spend.	money	перевод примера относится к другому значению
conversion	B2	6164	Noun	превращение	обращение; конверсия	His conversion to Christianity		The act of converting something or someone.	actions	пример: слова нет в предложении
blaze	C1	13657	Noun	(яркое) пламя	(яркий) огонь	He was blazing with anger.	Его переполняла ярость.	A fire, especially a fast-burning fire producing a lot of flames and light.		многозначное слово, подтвердить перевод нечем (4 разных этимологий); категория не определилась (не определилась)
gee	B2	6165	Noun		name of the letter G, g → джи/жэ/гэ; slang: a thousand dollars → косарь	Gee whiz!	Вот те на!	A gee-gee, a horse.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
jojo	C1	13659	Noun					A seasoned, battered and fried potato wedge.	time	нет русского перевода в Wiktionary; пример: слово в примере — имя собственное
synod	C2	33420	Noun	синод	синклит			An ecclesiastic council or meeting to consult on church matters.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
journalist	B2	6169	Noun		one whose occupation or profession is jo → журналист/журналистка/газетчик; reporter → репортёр/репортёрша/корреспондент	She's a journalist.	Она журналистка.	The keeper of a personal journal, who writes in it regularly.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
lance	B2	6171	Noun	пика		That's a lance.	Это копьё.	A weapon of war, consisting of a long shaft or handle and a steel blade or head; a spear carried by horsemen.		категория не определилась (не определилась)
excess	B2	6172	Noun	превышение		The excess of heavy water was given away to the neighbouring country.		The state of surpassing or going beyond a limit; the state of being beyond sufficiency, necessity.		пример: слова нет в предложении; многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Verb); категория не определилась (не определилась)
springer	C1	13664	Noun	прыгун				A person that springs.	people	пример: нет предложений в Tatoeba
rummage	C2	33425	Verb		(intransitive) to search something which → рыться/копаться; (transitive) to search something thoroug → обыскивать/обшаривать; to hastily search for → рыться/копаться	She rummaged in her capacious handbag.	Она рылась в своей бездонной сумке.	To arrange (cargo, goods, etc.) in the hold of a ship; to move or rearrange such goods.	actions	перевод не привязывается к значению — риск взять чужое
railroad	B2	6176	Noun			This railroad ends here.	Эта железная дорога кончается здесь.	A permanent track consisting of fixed metal rails to drive trains or similar motorized vehicles on.		нет русского перевода в Wiktionary (вынесен на отдельную страницу); категория не определилась (не определилась)
secrecy	C1	13666	Noun	засекреченность		Why all the secrecy?	К чему вся эта секретность?	Concealment; the condition of being secret or hidden.		категория не определилась (не определилась)
cracker	C1	13667	Noun	крекер	сухое печенье; сухарь	I ate all the crackers.	Я съел все крекеры.	A noisy boaster; a swaggering fellow.		категория не определилась (не определилась)
chatter	B2	6178	Noun	болтовня	трёп	I don't enjoy aimless chatter.	Не люблю пустой болтовни.	Talk, especially meaningless or unimportant talk.		категория не определилась (не определилась)
hyperlink	C1	13668	Noun	гиперссылка	гиперлинк; линк; ссылка	Click the hyperlink to go to the next page.		Some text or a graphic in an electronic document that can be activated to display another document or trigger an action.	tech	пример: нет предложений в Tatoeba
specs	B2	6180	Noun			Pass me my specs, please.	Подай мне очки, пожалуйста.	Specifications: plural of spec.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
lambda	C1	13670	Noun	лямбда	ламбда			The eleventh letter of the Classical and Modern Greek alphabet, the twelfth of the Old Greek alphabet.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
balloon	B2	6184	Noun	воздушный шар		The balloon will burst.	Воздушный шар лопнет.	An inflatable buoyant object, often (but not necessarily) round and flexible.		категория не определилась (не определилась)
motorsports	C1	13671	Noun					Canada, US standard spelling of motorsport (“the class of all motorsports”).		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
creed	C1	13672	Noun	кредо	вера; вероисповедание; конфессия			That which is believed; accepted doctrine.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
antivirus	B2	6186	Noun	антивирус				A piece of software that is used to detect, delete and or neutralize computer-based viruses.	tech	пример: не для детей (в переводе): вирус
falk	C2	33438	Noun					The razorbill.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
forty	B2	6187	Noun	сорок		She's forty.	Ей сорок лет.	A bottle (of beer) containing forty fluid ounces.		перевод есть только для другой части речи (Numeral вместо Noun); категория не определилась (не определилась)
comeback	C1	13676	Noun	возвращение	камбэк	That fad went out with the eighties, but I think it's making a comeback.		A return after an extended period of obscurity or underperformance.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
sheesh	C2	33441	Interjection	тьфу	фу-ты; блин; чёрт			An expression of disbelief or exasperation.	communication	пример: длина английского предложения
abstain	C2	33442	Verb		refrain from → воздержаться/воздерживаться; refrain from voting → воздерживаться/воздержаться	I abstain.	Я воздерживаюсь.	Keep or withhold oneself.	actions	перевод не привязывается к значению — риск взять чужое
listener	C1	13682	Noun	слушатель	слушательница			Someone who listens, especially to a speech or a broadcast.	people	пример: слова нет в предложении
elongation	C2	33443	Noun					The act of lengthening.	actions	нет русского перевода в Wiktionary; пример: слова нет в предложении
shim	C2	33445	Noun	регулировочная прокладка				A thin piece of material, sometimes tapered, used for alignment or support.	objects	пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
grill	B2	6195	Noun	решётка	рашпер	I'm grilling fish.	Я готовлю рыбу на гриле.	A grating; a grid of wire or a sheet of material with a pattern of holes or slots.	objects	многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Noun/Verb/Adjective)
claimant	C1	13690	Noun					One who claims; one who makes a claim.	people	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: нет предложений в Tatoeba
adieu	C2	33448	Noun	прощание		I bid you adieu.	Я прощаюсь с тобой.	A farewell, a goodbye; especially a fond farewell, or a lasting or permanent farewell.		категория не определилась (не определилась)
priory	C2	33457	Noun	приорат				A monastery or convent governed by a prior or prioress.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
hobby	B2	6205	Noun	хобби	увлечение; конёк	It is my hobby.	Это моё хобби.	An activity that one enjoys doing in one's spare time.		категория не определилась (не определилась)
expo	C1	13697	Noun					An exposition (type of public exhibition). A world's fair.	society	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
somatic	C2	33461	Adjective					Part of, or relating to the body of an organism.	qualities	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
coroner	C1	13704	Noun	коронер	следователь по убийствам; судебный следователь; судмедэксперт	The coroner confirmed the cause of death.		A public official who presides over an inquest into unnatural deaths, and who may have.	society	пример: длина английского предложения
adrenaline	C1	13705	Noun	адреналин				Epinephrine, the hormone and neurotransmitter.		пример: слова нет в предложении; категория не определилась (не определилась)
malloc	C2	33467	Noun					A subroutine in the C programming language's standard library for performing dynamic memory allocation.	mind	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
howling	C1	13711	Noun	вой	завывание	A wolf is howling.	Воет волк.	The act of producing howls.	actions	многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Noun/Verb/Adjective)
